# Model Verification Tasks - Generated Fri Jan  2 12:29:22 IST 2026
# Total models: 1001
#
# Each line is a task for a droid to verify a model's Couchbase functionality
# Format: MODEL_NAME|MODEL_PATH|TABLE_NAME
#
PatientAllergyAssignment|models/PatientAllergyAssignment.php|patient_allergy_assignment
PatientContactAssignment|models/PatientContactAssignment.php|patient_contact_assignment
PatientContactAssociate|models/PatientContactAssociate.php|patient_contact_associate
PatientIdentifier|models/PatientIdentifier.php|patient_identifier
PatientIdentifierStatus|models/PatientIdentifierStatus.php|patient_identifier_status
PatientIdentifierType|models/PatientIdentifierType.php|patient_identifier_type
PatientIdentifierTypeDisplayOrder|models/PatientIdentifierTypeDisplayOrder.php|patient_identifier_type_display_order
PatientMeasurement|models/PatientMeasurement.php|patient_measurement
PatientMergeRequest|models/PatientMergeRequest.php|patient_merge_request
PatientOphInfo|models/PatientOphInfo.php|patient_oph_info
PatientOphInfoCviStatus|models/PatientOphInfoCviStatus.php|patient_oph_info_cvi_status
PatientReferral|models/PatientReferral.php|patient_referral
PatientRiskAssignment|models/PatientRiskAssignment.php|patient_risk_assignment
PatientShortcode|models/PatientShortcode.php|patient_shortcode
PatientStatistic|models/PatientStatistic.php|patient_statistic
PatientStatisticDatapoint|models/PatientStatisticDatapoint.php|patient_statistic_datapoint
PatientStatisticType|models/PatientStatisticType.php|patient_statistic_type
PatientUserReferral|models/PatientUserReferral.php|patient_user_referral
PcrRiskValues|models/PcrRiskValues.php|pcr_risk_values
Pedigree|models/Pedigree.php|pedigree
PedigreeAminoAcidChangeType|models/PedigreeAminoAcidChangeType.php|pedigree_amino_acid_change_type
PedigreeBaseChangeType|models/PedigreeBaseChangeType.php|pedigree_base_change_type
PedigreeGene|models/PedigreeGene.php|pedigree_gene
PedigreeInheritance|models/PedigreeInheritance.php|pedigree_inheritance
PedigreeStatus|models/PedigreeStatus.php|pedigree_status
Period|models/Period.php|period
Person|models/Person.php|person
PlansProblems|models/PlansProblems.php|plans_problems
PostcodeToLSOAMapping|models/PostcodeToLSOAMapping.php|postcode_to_lsoa_mapping
Practice|models/Practice.php|practice
PreviousOperation|models/PreviousOperation.php|previous_operation
Priority|models/Priority.php|priority
Procedure|models/Procedure.php|proc
ProcedureBenefit|models/ProcedureBenefit.php|procedure_benefit
ProcedureComplication|models/ProcedureComplication.php|procedure_complication
ProcedureRisk|models/ProcedureRisk.php|procedure_risk
ProcedureSet|models/ProcedureSet.php|proc_set
ProcedureSetAssignment|models/ProcedureSetAssignment.php|proc_set_assignment
ProcedureSubspecialtyAssignment|models/ProcedureSubspecialtyAssignment.php|proc_subspecialty_assignment
ProcedureSubspecialtySubsectionAssignment|models/ProcedureSubspecialtySubsectionAssignment.php|proc_subspecialty_subsection_assignment
ProtectedFile|models/ProtectedFile.php|protected_file
QuarantinedFile|models/QuarantinedFile.php|quarantined_file
QuarantinedPlaceholderFile|models/QuarantinedPlaceholderFile.php|quarantined_placeholder_file
RTT|models/RTT.php|rtt
Referral|models/Referral.php|referral
ReferralEpisodeAssignment|models/ReferralEpisodeAssignment.php|referral_episode_assignment
ReferralType|models/ReferralType.php|referral_type
Risk|models/Risk.php|risk
SecondaryDiagnosis|models/SecondaryDiagnosis.php|secondary_diagnosis
SecondaryDiagnosisNotPresent|models/SecondaryDiagnosisNotPresent.php|secondary_diagnosis_not_present
SecondaryToCommonOphthalmicDisorder|models/SecondaryToCommonOphthalmicDisorder.php|secondaryto_common_oph_disorder
Service|models/Service.php|reference
ServiceSubspecialtyAssignment|models/ServiceSubspecialtyAssignment.php|reference
SettingFieldType|models/SettingFieldType.php|setting_field_type
SettingFirm|models/SettingFirm.php|setting_firm
SettingGroup|models/SettingGroup.php|setting_group
SettingInstallation|models/SettingInstallation.php|setting_installation
SettingInstitution|models/SettingInstitution.php|setting_institution
SettingInstitutionSubspecialty|models/SettingInstitutionSubspecialty.php|setting_institution_subspecialty
SettingMetadata|models/SettingMetadata.php|setting_metadata
SettingSite|models/SettingSite.php|setting_site
SettingSpecialty|models/SettingSpecialty.php|setting_specialty
SettingSubspecialty|models/SettingSubspecialty.php|setting_subspecialty
SettingUser|models/SettingUser.php|setting_user
SignatureImportLog|models/SignatureImportLog.php|signature_import_log
SignatureRequest|models/SignatureRequest.php|signature_request
Site|models/Site.php|core
SiteLogo|models/SiteLogo.php|site_logo
SiteSubspecialtyAnaestheticAgent|models/SiteSubspecialtyAnaestheticAgent.php|site_subspecialty_anaesthetic_agent
SiteSubspecialtyAnaestheticAgentDefault|models/SiteSubspecialtyAnaestheticAgentDefault.php|site_subspecialty_anaesthetic_agent_default
SiteSubspecialtyDrug|models/SiteSubspecialtyDrug.php|site_subspecialty_drug
SiteSubspecialtyOperativeDevice|models/SiteSubspecialtyOperativeDevice.php|site_subspecialty_operative_device
Specialty|models/Specialty.php|reference
SpecialtyType|models/SpecialtyType.php|specialty_type
SsoDefaultFirms|models/SsoDefaultFirms.php|sso_default_user_firms
SsoDefaultRights|models/SsoDefaultRights.php|sso_default_user_rights
SsoDefaultRoles|models/SsoDefaultRoles.php|sso_default_user_roles
SsoRoles|models/SsoRoles.php|sso_roles
SsoRolesAuthAssignment|models/SsoRolesAuthAssignment.php|sso_roles_authassignment
StudyParticipationStatus|models/StudyParticipationStatus.php|study_participation_status
Subspecialty|models/Subspecialty.php|reference
SubspecialtySubsection|models/SubspecialtySubsection.php|subspecialty_subsection
Tag|models/Tag.php|tag
Team|models/Team.php|team
TeamTeamAssign|models/TeamTeamAssign.php|team_team_assign
TeamUserAssign|models/TeamUserAssign.php|team_user_assign
UniqueCodeMapping|models/UniqueCodeMapping.php|unique_codes_mapping
UniqueCodes|models/UniqueCodes.php|unique_codes
User|models/User.php|user
UserAuthentication|models/UserAuthentication.php|user_authentication
UserAuthenticationMethod|models/UserAuthenticationMethod.php|user_authentication_method
UserFirm|models/UserFirm.php|user_firm
UserFirmPreference|models/UserFirmPreference.php|user_firm_preference
UserFirmRights|models/UserFirmRights.php|user_firm_rights
UserHotlistItem|models/UserHotlistItem.php|user_hotlist_item
UserOutOfOffice|models/UserOutOfOffice.php|user_out_of_office
UserPincode|models/UserPincode.php|user_pincode
UserServiceRights|models/UserServiceRights.php|user_service_rights
UserSite|models/UserSite.php|user_site
VirusScan|models/VirusScan.php|virus_scan
VirusScanItem|models/VirusScanItem.php|virus_scan_item
VisualFieldTestOption|models/VisualFieldTestOption.php|visual_field_test_option
VisualFieldTestPreset|models/VisualFieldTestPreset.php|visual_field_test_preset_id
VisualFieldTestPresetOption|models/VisualFieldTestPresetOption.php|visual_field_test_preset_option
VisualFieldTestPreset_Institution|models/VisualFieldTestPreset_Institution.php|visual_field_test_preset_institution
VisualFieldTestType|models/VisualFieldTestType.php|visual_field_test_type
Worklist|models/Worklist.php|worklist
WorklistAttribute|models/WorklistAttribute.php|worklist_attribute
WorklistDefinition|models/WorklistDefinition.php|worklist_definition
WorklistDefinitionDisplayContext|models/WorklistDefinitionDisplayContext.php|worklist_definition_display_context
WorklistDefinitionMapping|models/WorklistDefinitionMapping.php|worklist_definition_mapping
WorklistDefinitionMappingValue|models/WorklistDefinitionMappingValue.php|worklist_definition_mapping_value
WorklistDisplayContext|models/WorklistDisplayContext.php|worklist_display_context
WorklistDisplayOrder|models/WorklistDisplayOrder.php|worklist_display_order
WorklistFilter|models/WorklistFilter.php|worklist_filter
WorklistPatient|models/WorklistPatient.php|worklist_patient
WorklistPatientAttribute|models/WorklistPatientAttribute.php|worklist_patient_attribute
WorklistRecentFilter|models/WorklistRecentFilter.php|worklist_recent_filter
WorklistWaitTime|models/WorklistWaitTime.php|worklist_wait_time
WorklistWaitTime_Firm|models/WorklistWaitTime_Firm.php|worklist_wait_time_firm
WorklistWaitTime_Site|models/WorklistWaitTime_Site.php|worklist_wait_time_site
WorklistWaitTime_Specialty|models/WorklistWaitTime_Specialty.php|worklist_wait_time_specialty
WorklistWaitTime_Subspecialty|models/WorklistWaitTime_Subspecialty.php|worklist_wait_time_subspecialty
GeneticsPatient|modules/Genetics/models/GeneticsPatient.php|genetics_patient
GeneticsPatientDiagnosis|modules/Genetics/models/GeneticsPatientDiagnosis.php|genetics_patient_diagnosis
GeneticsPatientPedigree|modules/Genetics/models/GeneticsPatientPedigree.php|genetics_patient_pedigree
GeneticsPatientRelationship|modules/Genetics/models/GeneticsPatientRelationship.php|genetics_patient_relationship
GeneticsRelationship|modules/Genetics/models/GeneticsRelationship.php|genetics_relationship
GeneticsStudy|modules/Genetics/models/GeneticsStudy.php|genetics_study
GeneticsStudySubject|modules/Genetics/models/GeneticsStudySubject.php|genetics_study_subject
SavedSearch|modules/OECaseSearch/models/SavedSearch.php|case_search_saved_search
TreatmentType|modules/OETrial/models/TreatmentType.php|treatment_type
Trial|modules/OETrial/models/Trial.php|trial
TrialPatient|modules/OETrial/models/TrialPatient.php|trial_patient
TrialPatientStatus|modules/OETrial/models/TrialPatientStatus.php|trial_patient_status
TrialPermission|modules/OETrial/models/TrialPermission.php|trial_permission
TrialType|modules/OETrial/models/TrialType.php|trial_type
UserTrialAssignment|modules/OETrial/models/UserTrialAssignment.php|user_trial_assignment
Comments|modules/OphCiDidNotAttend/models/Comments.php|et_ophcididnotattend_comments
AdviceGiven|modules/OphCiExamination/models/AdviceGiven.php|et_ophciexamination_advicegiven
AdviceLeaflet|modules/OphCiExamination/models/AdviceLeaflet.php|ophciexamination_advice_leaflet
AdviceLeafletCategory|modules/OphCiExamination/models/AdviceLeafletCategory.php|ophciexamination_advice_leaflet_category
AdviceLeafletCategoryAssignment|modules/OphCiExamination/models/AdviceLeafletCategoryAssignment.php|ophciexamination_advice_leaflet_category_assignment
AdviceLeafletCategorySubspecialty|modules/OphCiExamination/models/AdviceLeafletCategorySubspecialty.php|ophciexamination_advice_leaflet_category_subspecialty
AdviceLeafletEntry|modules/OphCiExamination/models/AdviceLeafletEntry.php|ophciexamination_advice_leaflet_entry
Allergies|modules/OphCiExamination/models/Allergies.php|et_ophciexamination_allergies
AllergyEntry|modules/OphCiExamination/models/AllergyEntry.php|ophciexamination_allergy_entry
AutomaticExaminationEventLog|modules/OphCiExamination/models/AutomaticExaminationEventLog.php|automatic_examination_event_log
BaseMedicationElement|modules/OphCiExamination/models/BaseMedicationElement.php|
BirthHistory|modules/OphCiExamination/models/BirthHistory.php|et_ophciexamination_birthhistory
BirthHistory_DeliveryType|modules/OphCiExamination/models/BirthHistory_DeliveryType.php|ophciexamination_birthhistory_deliverytype
ClinicOutcomeEntry|modules/OphCiExamination/models/ClinicOutcomeEntry.php|ophciexamination_clinicoutcome_entry
ContrastSensitivity|modules/OphCiExamination/models/ContrastSensitivity.php|et_ophciexamination_contrastsensitivity
ContrastSensitivity_Result|modules/OphCiExamination/models/ContrastSensitivity_Result.php|ophciexamination_contrastsensitivity_result
ContrastSensitivity_Type|modules/OphCiExamination/models/ContrastSensitivity_Type.php|ophciexamination_contrastsensitivity_type
ConvergenceAccommodation|modules/OphCiExamination/models/ConvergenceAccommodation.php|et_ophciexamination_convergenceaccommodation
CorrectionGiven|modules/OphCiExamination/models/CorrectionGiven.php|et_ophciexamination_correction_given
CorrectionType|modules/OphCiExamination/models/CorrectionType.php|ophciexamination_correctiontype
CoverAndPrismCover|modules/OphCiExamination/models/CoverAndPrismCover.php|et_ophciexamination_coverandprismcover
CoverAndPrismCover_Distance|modules/OphCiExamination/models/CoverAndPrismCover_Distance.php|ophciexamination_coverandprismcover_distance
CoverAndPrismCover_Entry|modules/OphCiExamination/models/CoverAndPrismCover_Entry.php|ophciexamination_coverandprismcover_entry
CoverAndPrismCover_HorizontalPrism|modules/OphCiExamination/models/CoverAndPrismCover_HorizontalPrism.php|ophciexamination_coverandprismcover_horizontalprism
CoverAndPrismCover_VerticalPrism|modules/OphCiExamination/models/CoverAndPrismCover_VerticalPrism.php|ophciexamination_coverandprismcover_verticalprism
DischargeDestination|modules/OphCiExamination/models/DischargeDestination.php|ophciexamination_discharge_destination
DischargeStatus|modules/OphCiExamination/models/DischargeStatus.php|ophciexamination_discharge_status
Element_OphCiExamination_AE_RedFlags|modules/OphCiExamination/models/Element_OphCiExamination_AE_RedFlags.php|et_ophciexamination_ae_red_flags
Element_OphCiExamination_AdnexalComorbidity|modules/OphCiExamination/models/Element_OphCiExamination_AdnexalComorbidity.php|et_ophciexamination_adnexalcomorbidity
Element_OphCiExamination_Allergy|modules/OphCiExamination/models/Element_OphCiExamination_Allergy.php|et_ophciexamination_allergy
Element_OphCiExamination_AnteriorSegment|modules/OphCiExamination/models/Element_OphCiExamination_AnteriorSegment.php|et_ophciexamination_anteriorsegment
Element_OphCiExamination_AnteriorSegment_CCT|modules/OphCiExamination/models/Element_OphCiExamination_AnteriorSegment_CCT.php|et_ophciexamination_anteriorsegment_cct
Element_OphCiExamination_BlebAssessment|modules/OphCiExamination/models/Element_OphCiExamination_BlebAssessment.php|et_ophciexamination_bleb_assessment
Element_OphCiExamination_CVI_Status|modules/OphCiExamination/models/Element_OphCiExamination_CVI_Status.php|et_ophciexamination_cvi_status
Element_OphCiExamination_CXL_History|modules/OphCiExamination/models/Element_OphCiExamination_CXL_History.php|et_ophciexamination_cxl_history
Element_OphCiExamination_CXL_Outcome|modules/OphCiExamination/models/Element_OphCiExamination_CXL_Outcome.php|et_ophciexamination_cxl_outcome
Element_OphCiExamination_CataractSurgicalManagement|modules/OphCiExamination/models/Element_OphCiExamination_CataractSurgicalManagement.php|et_ophciexamination_cataractsurgicalmanagement
Element_OphCiExamination_CataractSurgicalManagement_Archive|modules/OphCiExamination/models/Element_OphCiExamination_CataractSurgicalManagement_Archive.php|et_ophciexamination_cataractsurgicalmanagement_archive
Element_OphCiExamination_ClinicOutcome|modules/OphCiExamination/models/Element_OphCiExamination_ClinicOutcome.php|et_ophciexamination_clinicoutcome
Element_OphCiExamination_ClinicProcedures|modules/OphCiExamination/models/Element_OphCiExamination_ClinicProcedures.php|et_ophciexamination_clinic_procedures
Element_OphCiExamination_ColourVision|modules/OphCiExamination/models/Element_OphCiExamination_ColourVision.php|et_ophciexamination_colourvision
Element_OphCiExamination_CommunicationPreferences|modules/OphCiExamination/models/Element_OphCiExamination_CommunicationPreferences.php|et_ophciexamination_communication_preferences
Element_OphCiExamination_Comorbidities|modules/OphCiExamination/models/Element_OphCiExamination_Comorbidities.php|et_ophciexamination_comorbidities
Element_OphCiExamination_Conclusion|modules/OphCiExamination/models/Element_OphCiExamination_Conclusion.php|et_ophciexamination_conclusion
Element_OphCiExamination_Contacts|modules/OphCiExamination/models/Element_OphCiExamination_Contacts.php|et_ophciexamination_contacts
Element_OphCiExamination_Cornea|modules/OphCiExamination/models/Element_OphCiExamination_Cornea.php|et_ophciexamination_cornea
Element_OphCiExamination_CurrentManagementPlan|modules/OphCiExamination/models/Element_OphCiExamination_CurrentManagementPlan.php|et_ophciexamination_currentmanagementplan
Element_OphCiExamination_DRGrading|modules/OphCiExamination/models/Element_OphCiExamination_DRGrading.php|et_ophciexamination_drgrading
Element_OphCiExamination_DR_Maculopathy|modules/OphCiExamination/models/Element_OphCiExamination_DR_Maculopathy.php|et_ophciexamination_dr_maculopathy
Element_OphCiExamination_DR_Retinopathy|modules/OphCiExamination/models/Element_OphCiExamination_DR_Retinopathy.php|et_ophciexamination_dr_retinopathy
Element_OphCiExamination_Diagnoses|modules/OphCiExamination/models/Element_OphCiExamination_Diagnoses.php|et_ophciexamination_diagnoses
Element_OphCiExamination_Dilation|modules/OphCiExamination/models/Element_OphCiExamination_Dilation.php|et_ophciexamination_dilation
Element_OphCiExamination_DrugAdministration|modules/OphCiExamination/models/Element_OphCiExamination_DrugAdministration.php|exam
Element_OphCiExamination_DrugAdministration_record|modules/OphCiExamination/models/Element_OphCiExamination_DrugAdministration_record.php|
Element_OphCiExamination_Fundus|modules/OphCiExamination/models/Element_OphCiExamination_Fundus.php|et_ophciexamination_fundus
Element_OphCiExamination_FurtherFindings|modules/OphCiExamination/models/Element_OphCiExamination_FurtherFindings.php|et_ophciexamination_further_findings
Element_OphCiExamination_GlaucomaRisk|modules/OphCiExamination/models/Element_OphCiExamination_GlaucomaRisk.php|et_ophciexamination_glaucomarisk
Element_OphCiExamination_Gonioscopy|modules/OphCiExamination/models/Element_OphCiExamination_Gonioscopy.php|et_ophciexamination_gonioscopy
Element_OphCiExamination_History|modules/OphCiExamination/models/Element_OphCiExamination_History.php|et_ophciexamination_history
Element_OphCiExamination_HistoryRisk|modules/OphCiExamination/models/Element_OphCiExamination_HistoryRisk.php|et_ophciexamination_examinationrisk
Element_OphCiExamination_InjectionManagement|modules/OphCiExamination/models/Element_OphCiExamination_InjectionManagement.php|et_ophciexamination_injectionmanagement
Element_OphCiExamination_InjectionManagementComplex|modules/OphCiExamination/models/Element_OphCiExamination_InjectionManagementComplex.php|et_ophciexamination_injectionmanagementcomplex
Element_OphCiExamination_IntraocularPressure|modules/OphCiExamination/models/Element_OphCiExamination_IntraocularPressure.php|et_ophciexamination_intraocularpressure
Element_OphCiExamination_Investigation|modules/OphCiExamination/models/Element_OphCiExamination_Investigation.php|et_ophciexamination_investigation
Element_OphCiExamination_Keratometry|modules/OphCiExamination/models/Element_OphCiExamination_Keratometry.php|et_ophciexamination_keratometry
Element_OphCiExamination_LaserManagement|modules/OphCiExamination/models/Element_OphCiExamination_LaserManagement.php|et_ophciexamination_lasermanagement
Element_OphCiExamination_Management|modules/OphCiExamination/models/Element_OphCiExamination_Management.php|et_ophciexamination_management
Element_OphCiExamination_NearVisualAcuity|modules/OphCiExamination/models/Element_OphCiExamination_NearVisualAcuity.php|et_ophciexamination_nearvisualacuity
Element_OphCiExamination_NextSteps|modules/OphCiExamination/models/Element_OphCiExamination_NextSteps.php|et_ophciexamination_next_steps
Element_OphCiExamination_OCT|modules/OphCiExamination/models/Element_OphCiExamination_OCT.php|et_ophciexamination_oct
Element_OphCiExamination_Observations|modules/OphCiExamination/models/Element_OphCiExamination_Observations.php|et_ophciexamination_observations
Element_OphCiExamination_OpticDisc|modules/OphCiExamination/models/Element_OphCiExamination_OpticDisc.php|et_ophciexamination_opticdisc
Element_OphCiExamination_OptomComments|modules/OphCiExamination/models/Element_OphCiExamination_OptomComments.php|et_ophciexamination_optom_comments
Element_OphCiExamination_OverallManagementPlan|modules/OphCiExamination/models/Element_OphCiExamination_OverallManagementPlan.php|et_ophciexamination_overallmanagementplan
Element_OphCiExamination_Pain|modules/OphCiExamination/models/Element_OphCiExamination_Pain.php|et_ophciexamination_pain
Element_OphCiExamination_PcrRisk|modules/OphCiExamination/models/Element_OphCiExamination_PcrRisk.php|et_ophciexamination_pcr_risk
Element_OphCiExamination_PostOpComplications|modules/OphCiExamination/models/Element_OphCiExamination_PostOpComplications.php|et_ophciexamination_postop_complications
Element_OphCiExamination_PosteriorPole|modules/OphCiExamination/models/Element_OphCiExamination_PosteriorPole.php|et_ophciexamination_posteriorpole
Element_OphCiExamination_PupillaryAbnormalities|modules/OphCiExamination/models/Element_OphCiExamination_PupillaryAbnormalities.php|et_ophciexamination_pupillaryabnormalities
Element_OphCiExamination_Refraction|modules/OphCiExamination/models/Element_OphCiExamination_Refraction.php|et_ophciexamination_refraction
Element_OphCiExamination_Risks|modules/OphCiExamination/models/Element_OphCiExamination_Risks.php|et_ophciexamination_risks
Element_OphCiExamination_Safeguarding|modules/OphCiExamination/models/Element_OphCiExamination_Safeguarding.php|et_ophciexamination_safeguarding
Element_OphCiExamination_Slit_Lamp|modules/OphCiExamination/models/Element_OphCiExamination_Slit_Lamp.php|et_ophciexamination_slit_lamp
Element_OphCiExamination_Specular_Microscopy|modules/OphCiExamination/models/Element_OphCiExamination_Specular_Microscopy.php|et_ophciexamination_specular_microscopy
